dlga_start:close_window|Aviso: esta linha nunca é exibida. É apenas para armazenar variáveis de conversação.
dlga_lord_denounce_3:lord_denounce_4|Não permitirei que você me ofenda em público, {milorde/milady}. Retire suas palavras injustas, ou nos veremos em um duelo.
dlga_lord_denounce_3:lord_denounce_4.1|Verdade? Bom, escute isto, você é uma serpente e um vilão, e se não for capaz de me enfrentar em um duelo, será considerado por todos um covarde desprezível. O que tem a dizer? Voltará atrás com suas palavras ou prefere que o aço nos ajude a resolver isto?
dlga_lord_denounce_4:lord_respond_to_insult_challenge_duel_confirm|Será um prazer lutar com você.
dlga_lord_denounce_4:lord_denounce_retract|Reconheço que falei precipitadamente. Eu retiro as minhas palavras.
dlga_lord_denounce_retract:lord_pretalk|Foi o que pensei. Agora saia daqui.
dlga_lord_talk:lord_respond_to_insult|{s9}
dlga_lord_pretalk:party_encounter_lord_hostile_attacker_2|Mas chega de conversa, renda-se ou lute!
dlga_lord_pretalk:lord_talk|Algo mais?
dlga_hero_pretalk:lord_talk|Algo mais?
dlga_lord_talk:lord_quarrel_intervention_1|Desejo falar de seu problema com {s11}
dlga_lord_talk:lord_recruit_1_relation|Pare! Há algo que devo dizer-lhe em particular.
dlga_lord_talk:lord_bandit_information|Estou buscando um grupo de bandidos com a seguinte descrição... Você os viu?
dlga_lord_bandit_information:lord_pretalk|{s15}
dlga_lord_talk:lord_internal_politics_cur_stance|Quem você acha que deveria ser o marechal de nosso reino?
dlga_lord_talk:lord_internal_politics_cur_stance.1|Em sua opinião, quem deveria receber o feudo de {s4}?
dlga_lord_talk:lord_husband_auto_recruit|Preciso que renuncie sua lealdade ao {s4} e una-se já ao {s5}, {reg65?minha esposa:meu marido}.
dlga_lord_husband_auto_recruit:lord_pretalk|Pergunte-me novamente quando estivermos fora dessas muralhas, minha esposa.
dlga_lord_husband_auto_recruit:close_window|Como desejar, minha esposa.
dlga_lord_talk:lord_recruit_1_relation.1|Há uma questão que gostaria de discutir em particular.
dlga_lord_talk:lord_recruit_1_relation.2|Há algo que gostaria de discutir em particular com você.
dlga_lord_talk:lord_talk|TRAPAÇA -- Redefinir decisão do lorde e impaciência com intrigas
dlga_lord_talk:lord_respond_to_insult_challenge_duel|TRAPAÇA -- Vamos duelar (insulto)
dlga_lord_respond_to_insult:lord_pretalk|Ah! Admiro uma língua afiada. Talvez algum dia a arranque, com umas pinças, para admirá-la com maior esplendor. Mas hoje, no momento, saúdo sua inteligência e coragem.
dlga_lord_respond_to_insult:lord_pretalk.1|Não queria ofendê-la, milady.
dlga_lord_respond_to_insult:lord_respond_to_insult_challenge_battle|Está tentando me provocar? Bem, saiba que eu não tenho a obrigação de duelar com mulheres, camponeses, rebeldes ou bandidos. No entanto, poderia encomendar meus homens para pegarem você e lhe encherem de chibatadas. Você gostaria de algo assim?
dlga_lord_respond_to_insult:lord_respond_to_insult_challenge_duel|Está tentando me provocar? Bem, saiba que eu não tenho a obrigação de duelar com mulheres, camponeses, rebeldes ou bandidos. No entanto, no seu caso eu gostaria de fazer uma exceção. Está pronto para receber uma lição em deferência aos seus superiores, {insolente/menina}?
dlga_lord_respond_to_insult:close_window|Está tentando me provocar? Bem, saiba que eu não tenho a obrigação de duelar com mulheres, camponeses, rebeldes ou bandidos. Você tem sorte que estou de bom humor hoje, porque estaria em meu perfeito direito de ordenar a meus homens que pegassem você e lhe enchessem de chibatadas. Agora vá, estou cansado de você.
dlga_lord_respond_to_insult_challenge_battle:lord_respond_to_insult_challenge_battle_confirm|Gostaria de vê-los tentar.
dlga_lord_respond_to_insult_challenge_battle:close_window|Não vale a pena o derramamento de sangue.
dlga_lord_respond_to_insult_challenge_battle_confirm:close_window|Chega de insolências! Peguem {ele/ela}, rapazes!
dlga_lord_respond_to_insult_challenge_duel:lord_respond_to_insult_challenge_duel_confirm|Estou pronto para dar-lhe uma lição.
dlga_lord_respond_to_insult_challenge_duel:close_window|Não vale a pena fazer um banho de sangue.
dlga_lord_respond_to_insult_challenge_duel_confirm:close_window|Assim seja. Defenda-se!
dlga_lord_quarrel_intervention_1:lord_quarrel_intervention_2|{s14}
dlga_lord_quarrel_intervention_2:lord_quarrel_intervention_3a|Ah, bem. Parece que você está em seu direito, então.
dlga_lord_quarrel_intervention_2:lord_quarrel_intervention_3b|Sejam quais forem suas diferenças, gostaria que as resolvesse.
dlga_lord_quarrel_intervention_2:lord_quarrel_intervention_3b.1|Você não poderia ser convencido a solucionar suas diferenças?
dlga_lord_quarrel_intervention_2:lord_pretalk|Pensando melhor, não quero ter nada a ver com isto.
dlga_lord_quarrel_intervention_3a:lord_pretalk|Fico feliz em ouvir isso.
dlga_lord_quarrel_intervention_3b:lord_quarrel_intervention_4|Em honra da nossa amizade, farei uso do seu bom senso. Tentarei fazer as pazes com o {s11}.
dlga_lord_quarrel_intervention_3b:lord_pretalk|Não vou me reconciliar com {s11}. Permaneço firme em meus direitos.
dlga_lord_quarrel_intervention_4:lord_pretalk|Então, vamos fingir que nossa disputa jamais existiu.
dlga_lord_quarrel_intervention_4:lord_pretalk.1|Suponho que deveria falar com o {s11}, e ver se ele é capaz de fazer o mesmo por mim.
dlga_lord_internal_politics_cur_stance:lord_internal_politics_cur_stance_plyr_response|Já havia decidido dar-lhe meu apoio.
dlga_lord_internal_politics_cur_stance:lord_internal_politics_cur_stance_plyr_response.1|Sou incapaz de decidir uma coisa dessas no momento.
dlga_lord_internal_politics_cur_stance:lord_internal_politics_cur_stance_plyr_response.2|Eu apoio {s15}. {s10}
dlga_lord_internal_politics_cur_stance_plyr_response:lord_internal_politics_plyr_choose_candidate|Deixe-me dizer-lhe quem apoio...
dlga_lord_internal_politics_cur_stance_plyr_response:lord_internal_politics_cur_stance_plyr_response|TRAPAÇA -- Redefinir quem você apoia
dlga_lord_internal_politics_plyr_choose_candidate:lord_internal_politics_plyr_choose_candidate_select|A quem você apoia?
dlga_lord_internal_politics_plyr_choose_candidate_select:lord_internal_politics_pretalk|Gostaria de me propor para tal honra.
dlga_lord_internal_politics_plyr_choose_candidate_select:lord_internal_politics_pretalk.1|Eu apoio {reg0?minha esposa:meu marido}, {s4}.
dlga_lord_internal_politics_plyr_choose_candidate_select:lord_internal_politics_support_acknowledge|Eu apoio você, {s4}.
dlga_lord_internal_politics_plyr_choose_candidate_select:lord_internal_politics_support_same_acknowledge|Eu apoio sua decisão, {s4}.
dlga_lord_internal_politics_plyr_choose_candidate_select:lord_pretalk|Não importa.
dlga_lord_internal_politics_support_acknowledge:lord_pretalk|Isto é muito gentil da sua parte, mas eu não busco essa honra e devo recusar seu apoio.
dlga_lord_internal_politics_support_acknowledge:lord_pretalk.1|Não confio em você, e não preciso de seu apoio.
dlga_lord_internal_politics_support_acknowledge:lord_pretalk.2|Isto é muito gentil da sua parte.
dlga_lord_internal_politics_support_same_acknowledge:lord_pretalk|Diga a {reg3?ela:ele} você mesmo. Não confio em você, e não participarei de mais nenhum dos seus jogos.
dlga_lord_internal_politics_support_same_acknowledge:lord_pretalk.1|Dada a sua relação com {s4}, não creio que seu apoio foi bem recebido.
dlga_lord_internal_politics_support_same_acknowledge:lord_pretalk.2|Eu contarei ao {s4}. Ele, sem dúvida, agradecerá muito o seu apoio.
dlga_lord_internal_politics_plyr_choose_candidate_select:lord_internal_politics_pretalk.2|Eu apoio {s4}
dlga_lord_internal_politics_pretalk:lord_internal_politics_cur_stance_plyr_response|Ah. Muito interessante.
dlga_lord_internal_politics_cur_stance_plyr_response:lord_internal_politics_plyr_request_support|Como posso convencê-lo a ficar do meu lado?
dlga_lord_internal_politics_cur_stance_plyr_response:lord_pretalk|De qualquer forma, basta de política no momento.
dlga_lord_internal_politics_plyr_request_support:lord_pretalk|Você tem gerado muita controvérsia para ser um candidato viável agora. Eu o aconselho a esperar um tempo antes de procurar mais honras para si.
dlga_lord_internal_politics_plyr_request_support:lord_pretalk.1|Desculpe, mas não gostaria de prejudicar minhas relações com o {s4}
dlga_lord_internal_politics_plyr_request_support:lord_pretalk.2|Você já foi amplamente recompensado com feudos... Todos dignos de seus grandes feitos. 
dlga_lord_internal_politics_plyr_request_support:lord_pretalk.3|Creio que deveria provar seu valor antes de se eleger para tal posição.
dlga_lord_internal_politics_plyr_request_support:lord_pretalk.4|Hmm... Isso é pedir demais, tendo em vista o atual estado de nossas relações.
dlga_lord_internal_politics_plyr_request_support:lord_pretalk.5|Eu o apoiaria de bom grado.
dlga_lord_recruit_1_relation:lord_pretalk|Estou um pouco cansado de falar de política. Talvez mais tarde.
dlga_lord_recruit_1_relation:lord_pretalk.1|{s12}
dlga_lord_recruit_1_relation:lord_recruit_pretender|Você levantou uma rebelião em nome de {s16}. Veio implorar pela causa {reg3?dela:dele}?
dlga_lord_recruit_pretender:lord_recruit_3_dilemma_1|Sim.
dlga_lord_recruit_pretender:lord_recruit_1_relation|Não, não exatamente. Há outro assunto que gostaria de tratar.
dlga_lord_recruit_1_relation:lord_recruit_2|{s12}
dlga_lord_recruit_2:lord_recruit_2_philosophy|O que geralmente pensa sobre reis, lordes e política?
dlga_lord_recruit_2:lord_spouse_leave_faction|{reg65?Querida esposa:Querido Marido}, acho que você deveria reconsiderar sua lealdade ao {s11}
dlga_lord_spouse_leave_faction:lord_spouse_leave_faction_2|{s9} sempre foi um bom suserano para mim, mas o escutarei. O que sugere que façamos?
dlga_lord_spouse_leave_faction:lord_spouse_leave_faction_2.1|Eu, particularmente, não vejo nenhuma razão para abandonar o {s9}, mas vou escutar seu conselho. O que sugere que façamos?
dlga_lord_spouse_leave_faction:lord_spouse_leave_faction_2.2|Sim, como soberano, {s9} é uma grande decepção. O que deveríamos fazer?
dlga_lord_spouse_leave_faction_2:lord_spouse_leave_faction_husband_king|Acho que você deveria ser {s1}, {reg65?minha esposa:meu marido}!
dlga_lord_spouse_leave_faction_2:lord_spouse_leave_faction_proclaim_queen|Sou a rainha legítima de Calradia
dlga_lord_spouse_leave_faction_2:lord_pretalk|Não importa.
dlga_lord_spouse_leave_faction_husband_king:lord_pretalk|Talvez algum dia, minha esposa. mas antes de eu me declarar rei, gostaria que um de nós tivesse uma fortaleza que pudesse servir como nossa corte para ai sim, nos declararmos publicamente.
dlga_lord_spouse_leave_faction_proclaim_queen:lord_pretalk|Eu jurei servir {s11}, e {reg0?ela:ele} manteve isso até o fim do acordo. Não vamos mais conversar sobre isso.
dlga_lord_spouse_leave_faction_proclaim_queen:lord_spouse_leave_faction_proclaim_queen_confirm|{s11}
dlga_lord_spouse_leave_faction_proclaim_queen:lord_pretalk.1|Eu não vejo razão para virar as costas para {s11} no momento.
dlga_lord_spouse_leave_faction_proclaim_queen_confirm:close_window|Estou pronta, {minha esposa/meu marido}. Vamos reclamar nosso trono.
dlga_lord_spouse_leave_faction_proclaim_queen_confirm:lord_pretalk|Acho que ainda não estou suficientemente preparada.
dlga_lord_spouse_leave_faction_husband_king:lord_pretalk.1|Talvez, mas preciso do seu incondicional apoio para declarar tais reivindicações. Você deveria resolver a rebelião de {s4} antes de levar isso adiante.
dlga_lord_spouse_leave_faction_husband_king:lord_spouse_leave_faction_husband_king_2|A maioria das grandes famílias nobres desta terra tem direitos para reivindicar o trono... Tendo em conta os recentes problemas com a sucessão, eu seria um rei tão legítimo como o {s4}. 
dlga_lord_spouse_leave_faction_husband_king_2:lord_spouse_leave_faction_husband_king_3|Como {s0}, deixarei em suas mãos a nomeação de ministros, a direção da diplomacia, e outros assuntos desse tipo.
dlga_lord_spouse_leave_faction_husband_king_3:close_window|Muito bem, {minha esposa/meu marido}. Cavalguemos para buscar suas reivindicações!
dlga_lord_spouse_leave_faction_husband_king_3:lord_pretalk|Na verdade, vamos aguardar um pouco.
dlga_lord_recruit_2_philosophy:lord_recruit_2|{s43} Deseja falar de outra coisa?
dlga_lord_recruit_2:lord_recruit_2_discontent|O que pensa sobre o {s15}?
dlga_lord_recruit_2:lord_recruit_3_a|Ainda lembra do que eu lhe disse mais cedo?
dlga_lord_recruit_2:lord_recruit_quarrel_describe|Ouvi dizer que você tem brigado com o {s16}.
dlga_lord_recruit_quarrel_describe:lord_recruit_2|Não é nenhum segredo. {s14}
dlga_lord_recruit_2:lord_pretalk|Não importa.
dlga_lord_recruit_2_discontent:lord_recruit_2_discontent_b|{s12}
dlga_lord_recruit_2_discontent:lord_recruit_hesitant|{s12}
dlga_lord_recruit_2_discontent_b:lord_recruit_3|Às vezes me preocupo com o estado do reino.
dlga_lord_recruit_hesitant:lord_recruit_hesitant_persuade|Poderia convencê-lo a dizer mais alguma coisa?
dlga_lord_recruit_hesitant:lord_pretalk|Ah. Muito bem.
dlga_lord_recruit_hesitant_persuade:lord_recruit_3|Bom, na verdade, tenho que admitir que às vezes me preocupo com a situação do reino.
dlga_lord_recruit_hesitant_persuade:lord_pretalk|Você põe à prova minha paciência. Eu já disse que não tenho mais nada a lhe dizer.
dlga_lord_recruit_3:lord_recruit_3_a|Bem, tenho algo a dizer.
dlga_lord_recruit_3:lord_pretalk|Bem, isso é interessante. Mas chega de política.
dlga_lord_recruit_3_a:lord_recruit_3_reset_claim|{s12}
dlga_lord_recruit_3_reset_claim:lord_recruit_3_claim|Sim, é isso.
dlga_lord_recruit_3_reset_claim:lord_recruit_3_a_reset|Permita-me sugerir algo diferente.
dlga_lord_recruit_3_a:lord_recruit_3_b|Sim?
dlga_lord_recruit_3_a_reset:lord_recruit_3_b|Sim?
dlga_lord_recruit_3_b:lord_recruit_3_why|Peço o seu apoio para reclamar o trono de Calradia.
dlga_lord_recruit_3_b:lord_recruit_3_why.1|Peço que jure lealdade a meu senhor {s45}, como o rei de toda Calradia.
dlga_lord_recruit_3_b:lord_pretalk|Não importa.
dlga_lord_recruit_3_dilemma_1:lord_recruit_3_dilemma_2|{s43}
dlga_lord_recruit_3_dilemma_2:lord_recruit_3_why|{s43}
dlga_lord_recruit_3_why:lord_pretalk|Ambos temos somente uma fortaleza em nosso nome. Você seria capaz de governar o seu reino a partir de um esconderijo na floresta?
dlga_lord_recruit_3_why:lord_recruit_3_d|Por que deveria apoiar {s44}?
dlga_lord_recruit_3_d:lord_recruit_3_claim|{s43}
dlga_lord_recruit_3_d:lord_recruit_3_claim.1|Como {s47}, {s45} trataria todos com justiça e defenderia os direitos dos plebeus.
dlga_lord_recruit_3_d:lord_recruit_3_claim.2|Como {s47}, {s45} manteria seus antigos privilégios como nobre desta terra.
dlga_lord_recruit_3_d:lord_recruit_3_claim.3|Porque {s45} pode unificar Calradia e pôr um fim a estas disputas.
dlga_lord_recruit_3_d:lord_recruit_3_claim.4|Porque {s45} lhe recompensaria com novas terras.
dlga_lord_recruit_3_d:lord_pretalk|Não importa.
dlga_lord_recruit_3_claim:lord_recruit_3_claim|Talvez você diga a cada pessoa o que pensa que eles querem ouvir, não é mesmo? {s12}
dlga_lord_recruit_3_claim:lord_recruit_4|{s12}
dlga_lord_recruit_3_claim:lord_pretalk|{s12}
dlga_lord_recruit_4:lord_recruit_4_objective_conditions|Peço que jure lealdade a {s16}.
dlga_lord_recruit_4:lord_pretalk|Não importa.
dlga_lord_recruit_4_objective_conditions:lord_recruit_5_security|Deixe-me pensar sobre isso...
dlga_lord_recruit_5_security:lord_recruit_5_political|{s32}
dlga_lord_recruit_5_political:lord_recruit_5_ideological|{s31}
dlga_lord_recruit_5_ideological:lord_recruit_5_change_sides|{s33}
dlga_lord_recruit_5_change_sides:lord_recruit_6|{s34}
dlga_lord_recruit_6:lord_recruit_6_reaction|É hora de tomar uma decisão.
dlga_lord_recruit_6:lord_pretalk|Não há necessidade de decidir nada ainda. Podemos falar sobre isso mais tarde.
dlga_lord_recruit_6_reaction:lord_recruit_7_decision|Muito bem...
dlga_lord_recruit_7_decision:lord_pretalk|{s12}
dlga_lord_recruit_7_decision:lord_recruit_pledge|Muito bem, estou disposto a jurar lealdade a {s4} como {reg4?minha rainha:meu rei}.
dlga_lord_recruit_pledge:lord_recruit_pledge|Lembre-se. Você me prometeu um feudo. Esperarei o cumprimento da promessa.
dlga_lord_recruit_pledge:lord_recruit_pledge_conclude|Que assim seja. Eu lhe juro lealdade como seu vassalo fiel. Estarei ao seu lado para lutar contra seus inimigos sempre que precisar da minha espada, e defenderei seus direitos e os de seus legítimos herdeiros. Por sua vez, espero que me proteja e reconheça meus direitos como seu vassalo.
dlga_lord_recruit_pledge:lord_recruit_pledge_conclude.1|Assim seja. Informe ao {s4} que a partir deste momento sou seu vassalo fiel, que o seguirei até onde minhas forças permitirem, e que permanecerei ao seu lado para combater seus inimigos sempre que precisar da minha espada, e defenderei suas reivindicações legais e as de seus legítimos herdeiros. Por sua vez, espero sua proteção e seu reconhecimento de meus direitos como vassalo.
dlga_lord_recruit_pledge_conclude:close_window|Sem dúvida... trata-se de um passo determinante. Agora devo me despedir, preciso de algum tempo para me preparar para o que está por vir.
dlga_lord_start:close_window.3|Recebi o presente, através de meu {s11} {s10}. Foi um nobre gesto, {milorde/milady}, e lamento que alguma vez tenhamos nos confrontado.
dlga_lord_start:close_window.4|Recebi o presente, através de meu {s11} {s10}. Por seu afeto, estou disposto a esquecer nossas brigas passadas.
dlga_lord_start:close_window.5|Recebi o presente, através de meu {s11} {s10}. Bah! Acha mesmo que pode comprar minha amizade?
dlga_lord_start:close_window.6|Recebi o presente, através de meu {s11} {s10}. {reg4?Ela:Ele} tem todo o meu apreço, no entanto, não posso esquecer nossas diferenças tão facilmente.
dlga_lord_talk:denounce_lord_results|Fiz o que você sugeriu e denunciei o {s4}
dlga_denounce_lord_results:lord_pretalk|Sim, e espero que agora o {s4} pense duas vezes antes de confiar-lhe novos feudos, honrarias e encargos. Estamos muito gratos.
dlga_denounce_lord_results:close_window|Então você o fez... e ficamos sabendo que ele o forçou a retirar suas palavras, e assim saiu deste problema mais fortalecido do que antes. Me perdoe, {milorde/milady}, se minha gratidão a você não é grande o suficiente.
dlga_lord_talk:lord_quest_intrigue_result|Fiz o que você me pediu e conversei com o {s5} sobre a ameaça que {s4} representa.
dlga_lord_quest_intrigue_result:lord_pretalk|Nós ouvimos isso. Esperemos que agora o {s5} pense duas vezes antes de confiar-lhe novos feudos, honrarias e encargos. Somos extremamente gratos.
dlga_lord_quest_intrigue_result:close_window|Escutamos isso. Porém, infelizmente, parece que o {s5} não está ouvindo. Ainda assim, estamos gratos por seus esforços.
dlga_lord_talk:lord_lend_companion_end|Gostaria que {s14} voltasse para mim, {s65}, se já não precisar dos serviços {reg3?dela:dele}.
dlga_lord_lend_companion_end:lord_pretalk|Há muitos homens em sua companhia, {playername}. Você não pode conduzir mais ninguém neste momento.
dlga_lord_lend_companion_end:lord_pretalk.1|Certamente, {playername}. {reg3?Ela:Ele} é {reg3?uma moça:um rapaz} brilhante, você é {um homem/uma mulher} de sorte por ter companheiros tão notáveis.
dlga_lord_talk:lord_ask_to_collect_debt|Vim recolher o dinheiro que você deve ao {s1}.
dlga_lord_ask_to_collect_debt:lord_ask_to_collect_debt_2|Oh. Bem, o {s1} realmente me emprestou algum dinheiro há um certo tempo, mas fiz a ele muitos favores no passado e considero esse dinheiro como um pagamento justo.
dlga_lord_ask_to_collect_debt_2:convince_begin|O {s1} vê como dívida. Pediu que eu falasse com você em seu nome.
dlga_lord_ask_to_collect_debt_2:lord_pretalk|Neste caso, não insistirei mais.
dlga_convince_accept:close_window|Minha dívida com o {s8} há tempos não foi quitada e tem sido um motivo de angústias para mim. Obrigado por concordar em levar o dinheiro que devo a ele. Por favor, entregue-lhe estes {reg10} Florins e agradeça-o em meu nome.
dlga_lord_talk:lord_ask_to_make_peace|Por favor, {s64}, é hora de acabar com esta guerra entre {s12} e {s13}.
dlga_lord_ask_to_make_peace:lord_ask_to_make_peace_2|Hã? Eu não sei se o ouvi direito, {playername}. A guerra não pode ser facilmente esquecida por ambas as partes envolvidas, e eu tenho uma memória muito boa. Por que deveria me interessar em negociar uma trégua com estes cães?
dlga_lord_ask_to_make_peace_2:convince_begin|Talvez possa convencê-lo...
dlga_lord_ask_to_make_peace_2:lord_pretalk|Não importa, a paz pode esperar por enquanto.
dlga_convince_accept:close_window.1|Você... me convenceu, {playername}. Está bem, nesse caso, tem minha permissão para levar uma proposta de paz à {s14}. Não posso garantir que eles irão aceitá-la, mas se caso concordarem, eu vou mantê-la.
dlga_lord_talk:lord_challenge_duel_for_lady|Quero que retire suas acusações contra {s1}.
dlga_lord_challenge_duel_for_lady:lord_challenge_duel_for_lady_2|Que acusações? Todo mundo sabe que ela dorme com seus cavalariços e com qualquer outra pessoa que possa ter nas mãos enquanto seu marido está ausente. Estou apenas repetindo o que todos dizem.
dlga_lord_challenge_duel_for_lady_2:lord_challenge_duel|É melhor retirar essas mentiras imediatamente, senhor, ou irá conhecer a minha espada!
dlga_lord_challenge_duel_for_lady_2:lord_pretalk|Se você está dizendo...
dlga_lord_challenge_duel:close_window|{s15}
dlga_lord_talk:lord_challenge_courtship_rival|Renuncie seu cortejo a {s5}!
dlga_lord_challenge_courtship_rival:lord_challenge_courtship_rival_2|Ou o quê? Você tem intenção de lutar por uma dama? Saiba que nosso senhor repudia tais desafios frutos de paixão terrena, pois todos os homens devem permanecer unidos frente ao inimigo estrangeiro.
dlga_lord_challenge_courtship_rival_2:lord_challenge_duel|Você tem medo de me enfrentar em um duelo?
dlga_lord_challenge_courtship_rival_2:lord_pretalk|Perdoe-me. Falei sem pensar...
dlga_lord_talk:lord_message_delivered|Trago uma mensagem do {s9}.
dlga_lord_message_delivered:lord_pretalk|Sim? Deixe-me ver isso... Oh, oh, oh! É muita gentileza sua me trazer isto, {playername}. Aqui está o meu selo como prova do recebimento, e transmita meus cumprimentos ao {s9} quando vê-lo novamente.
dlga_lord_talk:lord_message_delivered_enemy|Trago uma mensagem de {s9}.
dlga_lord_message_delivered_enemy:close_window|Sim? Deixe-me ver isso... Humm. É muita gentileza sua me trazer isto, {playername}. Aqui está o meu selo como prova do recebimento, com meus agradecimentos.
dlga_lord_talk:lord_deliver_message_prisoner|Trago uma mensagem de {s11}.
dlga_lord_deliver_message_prisoner:lord_deliver_message_prisoner_2|Isto é verdade? Oh, muito obrigado, {playername}! Você trouxe esperança e um raio de luz para estas paredes escuras. Talvez um dia eu possa compensá-lo.
dlga_lord_deliver_message_prisoner_2:lord_deliver_message_prisoner_2a|Era o mínimo que eu podia fazer, {s65}.
dlga_lord_deliver_message_prisoner_2a:close_window|Você não tem ideia de como sou grato, {playername}. Mil vezes obrigado.
dlga_lord_deliver_message_prisoner_2:lord_deliver_message_prisoner_2b|Não se preocupe, {s65}. Você terá oportunidades de sobra, uma vez que está livre novamente.
dlga_lord_deliver_message_prisoner_2b:close_window|Hah, é claro, {playername}. Leve a minha eterna gratidão.
dlga_lord_talk:lord_rescue_by_replace_offer|Não tema, vim aqui para resgatá-lo.
dlga_lord_rescue_by_replace_offer:lord_rescue_by_replace_offer_2|Pelos Céus, está falando sério? Qual é o seu plano?
dlga_lord_rescue_by_replace_offer_2:lord_rescue_by_replace_offer_3|Trata-se de um truque simples, {s65}. Se nós trocarmos nossas roupas, eu tomarei seu lugar aqui na prisão, enquanto você escapa se passando por mim. Subornei os guardas com uma soma considerável, com a qual não tenho dúvidas de que já compraram a metade do estoque de vinho da taverna mais próxima. Com um pouco de sorte, em breve ficarão tão bêbados que não reconheceriam suas próprias mães, e muito menos conseguirão distinguir nós dois. Bom, pelo menos não até que você já esteja a uma distância segura.
dlga_lord_rescue_by_replace_offer_3:lord_rescue_by_replace_offer_4|Hum, isso poderia funcionar... Mas e você, {meu amigo/senhora}? Os guardas não vão gostar nada deste truque. Talvez você termine passando um longo tempo nesta prisão.
dlga_lord_rescue_by_replace_offer_4:lord_rescue_by_replace_offer_5a|Não se preocupe, {s65}. Já estou começando a gostar deste lugar.
dlga_lord_rescue_by_replace_offer_4:lord_rescue_by_replace_offer_5b|Estarei bem, desde que conte com uma generosa recompensa esperando-me no final.
dlga_lord_rescue_by_replace_offer_5a:lord_rescue_by_replace_offer_6|Você tem realmente uma alma corajosa. Não esquecerei isto.
dlga_lord_rescue_by_replace_offer_5b:lord_rescue_by_replace_offer_6|Naturalmente, {meu amigo/senhora}, naturalmente! Venha a mim quando recuperar sua liberdade, e talvez seja capaz de pagar minha dívida com você.
dlga_lord_rescue_by_replace_offer_6:close_window|Rápido, {s65}, vamos trocar as roupas! Você já deveria estar muito longe daqui.
dlga_lord_talk:lord_ask_pardon_after_oath_renounced|{s66}, desejo restaurar meu antigo juramento a {s4}.
dlga_lord_ask_pardon_after_oath_renounced:lord_pretalk|Este é um assunto demasiado importante para que eu o decida, {playername}. Você deveria procurar o {s4}. Ele é o único que pode conceder ou recusar tais clemências.
dlga_lord_ask_pardon_after_oath_renounced:lord_ask_pardon_terms|{s11}.
dlga_lord_ask_pardon_terms:lord_pretalk|Como quiser, {s65}. Aceitarei sua decisão.
dlga_lord_ask_pardon_terms:lord_pretalk.1|É uma pena, {s65}. Uma pena.
dlga_lord_ask_pardon_terms:lord_pretalk.2|Muito bem, vá e morra sem mim.
dlga_lord_ask_pardon_terms:lord_ask_pardon_after_renounce_peace|Sim, já estou preparado.
dlga_lord_ask_pardon_terms:lord_ask_pardon_terms_rejected|Pensando melhor, não. Não desejo atendê-lo novamente.
dlga_lord_ask_pardon_terms:lord_ask_pardon_after_renounce_peace.1|Sim, eu concordo com esses termos.
dlga_lord_ask_pardon_terms:lord_ask_pardon_terms_rejected.1|Esse é um preço muito alto, {s65}. Devo recusar a oferta.
dlga_lord_ask_pardon_after_renounce_peace:lord_pretalk|Excelente. Embora tenha se afastado de nós, {playername}, nossos corações se alegram em ver que você decidiu retomar o caminho certo. Por esta razão, restabeleço sua fidelidade a mim. Levante-se uma vez mais como {homem/guerreira} de honra a meu serviço.
dlga_lord_ask_pardon_terms_rejected:close_window|Nesse caso, fique fora da minha vista, {traidor/traidora}! Saia daqui, e não volte mais!
dlga_lord_talk:lord_ask_pardon|Desejo fazer as pazes com o {s4}.
dlga_lord_ask_pardon:lord_pretalk|É sério, {playername}? Nesse caso, vá e tropece com sua espada. Devolva a paz a todos nós.
dlga_lord_ask_pardon:lord_pretalk.1|{playername}, você é {um senhor/uma senhora} sem amo, possuindo terras em seu nome tendo apenas o menor dos pedaços de um reivindicação de legitimidade. Nenhum rei de Calradia aceitaria uma paz duradoura com você.
dlga_lord_ask_pardon:lord_pretalk.2|Firmar a paz quando eu disponho de clara vantagem? Acho que não.
dlga_lord_ask_pardon:lord_pretalk.3|Não tenho nenhum interesse em firmar a paz neste momento.
dlga_lord_ask_pardon:lord_truce_offer|Sim... estou cansado de lutar contra você. Ofereço-lhe uma trégua de vinte dias. Se mantiver sua palavra e não perturbar minhas terras e súditos, podemos nos falar novamente...
dlga_lord_truce_offer:close_window|Aceito. Deixemos de guerrear entre nós, pelo menos por enquanto.
dlga_lord_truce_offer:lord_pretalk|Pensando melhor, tal acordo não atende aos meus interesses.
dlga_lord_ask_pardon:lord_ask_pardon_2|Hum. Eu poderia utilizar minha influência para conseguir um perdão para você, {playername}, mas alguns {o/a} consideram um inimigo e não ficarão satisfeitos a menos que seja pago um tributo. Ao todo, você terá que obter pelo menos {reg16} Florins para fazer alguns amigos no {s4}.
dlga_lord_ask_pardon:lord_pretalk.4|Não estou em condições de oferecer-lhe nada. Você deveria falar com o {s7}.
dlga_lord_ask_pardon:lord_ask_pardon_2.1|Sim... tenho preocupações mais importantes que você ou seus seguidores. Entretanto, você ofendeu a meus súditos, e as ofensas demandam uma compensação. Pela soma de {reg16} Florins, suponho que poderia vir a conceder-lhe um perdão. O que me diz?
dlga_lord_ask_pardon:lord_pretalk.5|Lamento. Não estou em condições de oferecer-lhe um perdão.
dlga_lord_ask_pardon_2:lord_ask_pardon_tribue_accept|Eu tenho o dinheiro aqui. {reg16} Florins.
