qstr_Artillery|Artilharia
qstr_The_Guildmaster_of_{s|O Mestre da Guilda de {s14} lhe pediu que dê cargo de um grupo de bandidos que está aterrorizando as ruas de {s14}. Os bandidos só saem à noite e atacam unicamente pedestres que caminham sozinhos.
qstr_Mayor_of_{s10}_asked|O Prefeito de {s10} pediu que para você conduzir um rebanho de gado para {s13}. Você ganhará {reg8} Florins em troca.
qstr_Timber:_10_^Stone:_3|Madeira: 10 ^Pedra: 30  ^Ferramentas: 6
qstr_A_stockpile_increase|Um estoque aumenta a produção total. Simplesmente porque a aldeia pode armazenar mais bens. (Prestígio: +20)
qstr_Timber:_20_^Stone:_8|Madeira: 20 ^Pedra: 8 ^Ferramentas: 4
qstr_Every_village_needs_a_m|Toda aldeia precisa de um moinho. Aumenta a prosperidade na aldeia em 5%. (Prestígio: +30)
qstr_Timber:_10_^Stone:_4|Madeira: 10 ^Pedra: 4 ^Ferramentas: 2
qstr_Timber:_20_^Stone:_1|Madeira: 20 ^Pedra: 10 ^Ferramentas: 2
qstr_Timber:_10_^Stone:_6|Madeira: 10 ^Pedra: 6 ^Ferramentas: 2
qstr_Timber:_6_^Stone:_0_|Madeira: 6 ^Pedra: 0 ^Ferramentas: 2
qstr_Timber:_10_^Stone:_9|Madeira: 10 ^Pedra: 9 ^Ferramentas: 4
qstr_Timber:_20_^Stone:_6|Madeira: 20 ^Pedra: 6 ^Ferramentas: 4
qstr_Timber:_40_^Stone:_2|Madeira: 40 ^Pedra: 2 ^Ferramentas: 4
qstr_Timber:_10_^Stone:_2|Madeira: 10 ^Pedra: 2 ^Ferramentas: 4
qstr_This_production_stru|Esta estrutura de produção faz com que a sua aldeia produza uma unidade extra de madeira. (Prestígio: +10)
qstr__none| nenhum
qstr_This_production_struc|Esta estrutura de produção faz com que a sua aldeia produza uma unidade extra de ferramentas. (Prestígio: +10)
qstr_This_production_struct|Esta estrutura de produção faz com que a sua aldeia produza uma unidade extra de pedra. (Prestígio: +10)
qstr_Village_s_treasury_h|O tesouro da aldeia tem {reg0} Florins agora.
qstr_Construction_has_sta|A construção começou. Uma Mesa de Elaboração aparecerá no canteiro de obras em uma hora.
qstr_My_liege_The_villag|{Meu Suserano/Minha Suserana}, a população da aldeia é {reg9} e há atualmente {reg1} aldeão desempregado. Por favor mande-o para o trabalho.
qstr_My_liege_The_village|{Meu Suserano/Minha Suserana}, a população da aldeia é {reg9} e há atualmente {reg1} aldeões desempregados. Por favor, eles precisam de um emprego!
qstr_My_liege_The_village_|{Meu Suserano/Minha Suserana}, a população da aldeia é {reg9} e há atualmente {reg1} aldeões desempregados. Você fez um bom trabalho!
qstr_Splendid!_This_cause|Esplêndido! Isso faz com que {reg0} pessoas venham morar na aldeia, mas gera apenas {reg1} Florins, toda semana.
qstr_This_will_cause_a_pe|Isso causará um equilíbrio perfeito.
qstr_My_lord!_This_causes|{Meu Senhor/Minha Senhora}! Isso faz com que {reg0} pessoas saiam da cidade, mas gera uma grande quantidade de {reg1} Florins, toda semana.
qstr_Your_villagers_thank|Seus aldeões o agradecem por ser tão generoso
qstr_You_receive_salary_|Você recebe o salário, porém mais ouro desapareceu do tesouro!
qstr_You_receive_salary_b|Você recebe o salário, porém o tesouro está muito mais vazio!
qstr_You_receive_salary_bu|Você recebe o salário, porém uma grande soma de ouro desapareceu do tesouro!
qstr_He_is_not_commanding|Neste momento você não está ao comando de nenhum homem.
qstr_He_currently_command|Atualmente você está ao comando de {reg0} homens{reg1?, dos quais {reg1} estão feridos:}.
qstr_The_elder_of_the_vil|O ancião da aldeia de {s3} lhe pediu que leve para ele {reg5} sacos de trigo.
qstr_The_elder_of_the_vill|O ancião da aldeia de {s13} lhe pediu que treine {reg5} camponeses para que aprendam a combater os bandidos.
qstr_The_elder_of_the_villa|O ancião da aldeia de {s3} lhe pediu que leve para ele {reg5} cabeças de gado.
qstr_{s16}_and_{s15}|{s16} e {s15}
qstr_I_can_smell_a_fat_pu|Posso farejar uma bolsa cheia de longe. Creio que a sua poderia ser esvaziada, hã?
qstr_Why_it_be_another_t|Vejam, se não é outr{o/a} viajante, o acaso nos encontrou na estrada! Eu deveria avisá-l{o/a}, o país aqui é um pouco perigoso para {um bom/uma linda} {companheiro/mulher} como você. Mas por uma pequena doação meus meninos e eu vou ter certeza que você vai direto para o seu destino, hein?
qstr_Well_well_look_at_t|Bem, olhe para isto! É melhor você começar a cuspir um pouco de prata, {amigo/princesinha}. Ou eu e meus homens teremos que lidar com você.
qstr_There_s_a_toll_for_p|Para passar por aqui você tem que pagar uma passagem. Por isso, se não se importa, tomaremos a liberdade de tomá-la em sua bolsa...
qstr_Another_fool_come_to|{Outro tolo/Outra tola} que quer morrer pelas minhas mãos, hã? Pois bem, vamos lutar!
qstr_We_re_not_afraid_of_|Você não me assusta, {porco/bruxa}. Partirei sua cabeça!
qstr_That_was_a_mistake._|Você cometeu um erro. Agora terei que lhe dar uma morte lenta e dolorosa.
qstr_Brave_words._Let_s_s|Valentes palavras. Veremos como as demonstra com feitos, {cachorro/cachorra}!
qstr_King_{s11}|Rei {s11}
qstr_Tsar_{s11}|Czar {s11}
qstr_{s11}_Khan|{s11} Khan
qstr_Sultan_{s11}|Sultão {s11}
qstr_Tlatoani_{s11}|Tlatoani {s11}
qstr_Grandmaster_{s11}|Grão-Mestre {s11}
qstr_Doge_{s11}|Doge {s11}
qstr_{s10}_is_the_new_Sov|{s10} é o novo Soberano de {s2}!
qstr_A_{s5}?_Well..._Yes|{s5}? Bem... Sim, suponho que sim. Que coisa estranha de perguntar.
qstr_Eh?_No_it_most_cert|Eh? Não, certamente não é {s5}. Eu começaria a questionar minha visão se eu fosse você.
qstr_This_is_the_{reg4?to|Você está {reg4?na cidade:na aldeia} de {s5}, {senhor/senhora}.
qstr_{s6}_Our_{reg4?town:|{s6} {reg4?Nossa cidade:Nossa aldeia} e suas terras adjacentes lhe pertencem, {milorde/milady}.
qstr_{s6}_Our_{reg4?town:v|{s6} {reg4?Nossa cidade:Nossa aldeia} e suas terras adjacentes pertencem ao {s7} do {s8}.
qstr_{s3}_and_{s5}|{s3} e {s5}
qstr_{reg20?We_mostly_pro|{reg20?Aqui nós produzimos de tudo... {s5}:Atualmente não produzimos quase nada}. Se quiser saber mais, você pode falar com o nosso {reg4?mestre da guilda:ancião}. Ele está bem ali.
qstr_You_need_atleast_250|Você precisa de pelo menos 250 renome.
qstr_You_have_become_Chri|Você se tornou Crist{ão/ã}.
qstr_Your_piety_has_increa|Sua piedade aumentou em 1.
qstr_Your_piety_has_increas|Sua piedade aumentou em {reg0}.
qstr_You_have_become_Musl|Você se tornou Muçulman{o/a}.
qstr_You_have_become_Jewi|Você se tornou {Judeu/Judia}.
qstr_You_have_become_Nors|Você se tornou Nórdic{o/a}.
qstr_You_have_become_Sham|Você se tornou Xamanista.
qstr_Village_has_{reg0}_u|A aldeia tem {reg0} unidades de madeira restantes.
qstr_Village_has_{reg0}_un|A aldeia tem {reg0} unidades de pedra restantes.
qstr_Village_has_{reg0}_uni|A aldeia tem {reg0} unidades de ferramentas restantes.
qstr_Beacon_is_lit._Watch|O farol está aceso. Observe o outro no orizonte.
qstr_His_Highness_Grandma|Sua Alteza O Grão-Mestre Adonicus de Drachenburg me envia para acompanhá-l{o/a} por uma semana. Quais as suas ordens, {Sor/Madame}?
qstr_My_lord!_I_ve_served|{Meu Senhor/Minha Senhora}! Nós lhe servimos por uma semana. Agora, é hora de voltar para Drachenburg. Tenha uma boa viagem, {Sor/Madame}.
qstr_Any_orders_my_lord?|Alguma ordem, {meu senhor/minha senhora}?
qstr_Town_s_treasury_lowe|Tesouro da cidade diminuiu para {reg0} Florins.
qstr_The_town_treasury_ha|O tesouro da cidade foi diminuído em 10.000 Florins.
qstr_The_town_of_{s1}_has|A cidade de {s1} tem um novo comissário.
qstr_Every_town_needs_thi|Toda cidade precisa dessa maravilha, todo cidadão, nobre ou artesão quer visitá-la. {s10} é o monumento que mostra a superioridade de sua cidade. (Prestígio +300)
qstr_As_towns_are_growing|Como as cidades estão crescendo, elas exigem mais escribas para fazer a administração. Juntamente com eles os conselheiros da cidade precisam de espaço e esperam algo muito impressionante. (Prestígio +250)
qstr_Ah_splendid!_You_wan|Ah esplêndido! Você quer atualizar um dos edifícios mais prestigiados da cidade? Eu tenho um plano perfeito em minha mente! Substituindo o atual edifício gótico por um monumento clássico colossal! (Prestígio +250)
qstr_My_lord!_You_want_to|{Meu Senhor/Minha Senhora}! Você quer tornar a prefeitura atual ainda maior? Que tal uma torre gigante no meio? Por favor, {senhor/senhora}, posso ter a honra de criar um monumento tão impressionante? (Prestígio +250)
qstr_Get_a_prestigious_to|Obter uma cidade de prestígio, erguendo muralhas gigantes. Estas se tornarão tão altas que os inimigos precisarão de torres de cerco. (Prestígio +300)
qstr_After_a_day_of_hard_|Depois de um dia duro de trabalho nas minas, tecelões ou ferreiros, eles querem relaxar. Se você criar a facilidade para isso, as pessoas vão amar você. (Prestígio +50)
qstr_Trade_an_important_|Comércio, uma importante linha de vida para todas as cidades. Destrói vidas ou... com as instalações certas, cria o bem-estar. Ajude os comerciantes, construindo um lugar para o comércio. (Prestígio +75)
qstr_Since_the_ancient_Ca|Desde que o antigo Império Calrádico entrou em colapso, as estradas desapareceram lentamente. Hoje em dia as pessoas costumam viajar por 'estradas' emlamaçadas. Fazem comércio por terra e é muito ineficiente. (Prestígio +55)
qstr_Bring_all_important_|Reúna todos os estudiosos importantes e construa um centro de conhecimento. Talvez isso gere algo útil. Pelo menos isso contribui para o seu prestígio. (Prestígio +100)
qstr_There_are_merchants_|Há comerciantes que querem se unir em um sindicato. Eles acham que isso torna o comércio muito mais eficiente. o que você acha, {senhor/senhora}? (Prestígio +40)
qstr_The_ancients_created|Os antigos criaram enormes arcos triunfais. Um senhor capaz de construir algo enorme recebe muita atenção e acima de tudo; prestígio. (Prestígio +150)
qstr_The_poor_and_sick_ne|Os pobres e doentes precisam de cuidados. Geralmente as comunidades religiosas fornecem isso. Ajude-os um pouco, concedendo fundos suficientes para estabelecer um hospital na cidade. (Prestígio +38)
qstr_Farmers_and_villager|Agricultores e aldeões da terra vêm à cidade para vender seus bens. Precisamos aproveitar isso e estabelecer um mercado. (Prestígio +20)
qstr_Our_almighty_leader_|Noss{o/a} líder tod{o/a}-poderos{o/a} é conhecid{o/a} em todo o mundo. Sua grandeza é maior do que podemos medir. El{e/a} certamente merece uma estátua. (Prestígio +30)
qstr_Not_spices_nor_crow|Nem especiarias, nem coroas, nem títulos e nem mesmo peças de ouro têm o maior valor. Conhecimento tem. O conhecimento é armazenado em livros e livros são os bens mais caros em Calradia. Construir uma biblioteca torna você uma pessoa muito conhecida.  (Prestígio +150)
qstr_Town_s_treasury_conta|Tesouraria da cidade contém {reg0} Florins agora.
qstr_Construction_complet|Construção concluída!
qstr_Construction_has_star|A construção começou. Demora 5 semanas para concluir a construção.
qstr_It_generates_only_{r|Isso gera apenas {reg1} Florins toda semana e faz com que apenas algumas pessoas deixem da cidade.
qstr_This_will_cause_a_per|Isso causará um equilíbrio perfeito, {senhor/senhora}. Mas cuidado, isso também causará uma pequena diminuição no crescimento.
qstr_This_generates_a_hef|Isso gera uma grande quantia de {reg1} Florins, toda semana. Mas cuidado, as pessoas podem ir embora da cidade.
qstr_You_donated_to_the_t|Você doou para o tesouro.
qstr_Edict_proclaimed._Bo|Decreto proclamado. O poder da Burguesia aumentou em: 5
qstr_Edict_proclaimed._Bou|Decreto proclamado. O poder da Burguesia aumentou em: 10
qstr_Edict_proclaimed._Bour|Decreto proclamado. O poder da Burguesia aumentou em: 15
qstr_Edict_proclaimed._Bourg|Decreto proclamado. O poder da Burguesia aumentou em: 20
qstr_Edict_proclaimed._Clergy|Decreto proclamado. O poder do Clero aumentou em: 25
qstr_Town_s_treasury_lower|O tesouro da cidade diminuiu para {reg2} Florins.
qstr_Edict_revoked._Bourg|Decreto revogado. O poder da Burguesia diminuiu em: 5
qstr_Edict_revoked._Bourge|Decreto revogado. O poder da Burguesia diminuiu em: 10
qstr_Edict_revoked._Bourgeo|Decreto revogado. O poder da Burguesia diminuiu em: 15
qstr_Edict_revoked._Bourgeoi|Decreto revogado. O poder da Burguesia diminuiu em: 20
qstr_Edict_revoked._Clergy_po|Decreto revogado. O poder do Clero diminuiu em: 25
qstr_+|+
qstr_{s7}|{s7}
qstr_Title_has_changed_to|O título foi alterado para {s5}.
qstr_You_want_to_send_an_|Você deseja enviar uma Carta de Aprovação oficial para {s5}. Esta opção está disponível apenas uma vez por semana. Suas relações aumentarão em 10. Sua majestade tem certeza que deseja isso?
qstr_Sending_a_gift_to_{s|Enviar um presente para {s5} custa 10.000 Florins, naturalmente. Você tem certeza que quer continuar? Isso aumentará as relações em 10.
qstr_{s5}_will_be_very_ha|{s5} ficará muito feliz em ver seus privilégios aumentando. Isso irá melhorar as relações em 5 pontos. Também fortalecerá a nobreza em todo o reino. Seu poder aumenta em 10 pontos. Certamente você quer continuar, não é?
qstr_The_scribe_is_set_to|O escriba está pronto para trabalhar, Majestade.
qstr_But_your_Majesty!_Ti|Mas vossa majestade! O tempo está limitando nossos escribas. Não podemos enviar cartas agora. Você precisa esperar {reg0} dias!
qstr_The_shiny_coins_are_|As moedas brilhantes são enviadas para enriquecer a bolsa deste nobre, a sua Magnificência.
qstr_Ehrm_Majesty_your_p|Eeer.. Majestade, seu bolso parece estar um pouco vazio. Seus {reg0} Florins não chegam a 10.000.
qstr_Nobility_power_has_r|O poder de nobreza aumentou em 10 pontos percentuais.
qstr_Weekly_investments_t|Investimentos semanais para pesquisa definida para {reg0} Florins.
qstr_Kingdom_technology_r|Pesquisa de tecnologia do reino enriquecida com {reg0} pontos.
qstr_Kingdom_treasury_lowe|Tesouro do Reino diminuiu para {reg1} Florins.
qstr_Kingdom_debts_lowere|Dívidas do Reino diminuíram em {reg0} Florins.
qstr_Kingdom_treasury_lower|Tesouro do Reino diminuiu em {reg0} Florins.
qstr_You_ve_invested_in_t|Você investiu na economia.
qstr_Clergy_power_must_be|O poder do clero deve ser inferior a 35%.
qstr_100000_Florins_remo|100.000 Florins retirados do tesouro.
qstr_Trade_revenues_incre|Receita comercial aumenta em 20%.
qstr_Commoners_sub_factio|Sub facção Plebeus reforçada em 15 pontos.
qstr_Trade_revenues_increa|Receita comercial aumenta em 10%
qstr_Trade_revenues_increas|Receita comercial aumenta em 50%.
qstr_Religious_Uniformity|A uniformidade religiosa diminuiu em 3%.
qstr_Clergy_power_increas|O poder do clero aumentou em {reg1} pontos.
qstr_Equip_a_Mining_Picka|Equipe uma picareta de mineração para coletar minério!
qstr_Please_go_to_the_saw|Por favor, vá para diques e serre os troncos das árvores para obter madeira.
qstr_Sawpits_Full|Diques cheios
qstr_Equip_a_Woodcutter_A|Equipe um machado de lenhador para recolher madeira e pontos!
qstr_Your_woodcutter_axe_|Seu machado de lenhador quebrou!
qstr_You_lack_free_room_i|Você não tem espaço livre em seu inventário!
qstr_3_Prestige_Point_ear|3 Pontos de Prestígio ganhos.
qstr_Equip_a_Mining_Pickax|Equipe uma Picareta de Mineração para recolher pedras e Pontos!
qstr_Your_mining_pickaxe_|Sua picareta de mineração quebrou!
qstr_You_ve_found_a_{s1}!|Você encontrou uma {s1}!
qstr_Crop_of_wheat_harves|Safra de trigo colhida.
qstr_You_found_some_seeds|Você encontrou algumas sementes!
qstr_You_need_a_sickle_to|Você precisa de uma foice para colher trigo.
qstr_Manufacturing|Produção
qstr_Forging_a_sword_requ|Forjar uma espada requer bastante maestria. A lâmina é aquecida para temperar ^e precisa ser resfriada agora. O resfriamento incorreto faz com que a lâmina se parta ^e se torne sucata sem valor. Com cuidado suficiente, você pode criar uma nova e bonita arma.
qstr_Please_finish_curren|Por favor, conclua o processo de criação atual.
qstr_Arrow_keys_available|Use as setas do teclado para posicionar o canhão.
qstr_Smelting|Fundição
qstr_Smelting_ores_to_pro|A fundição de minérios para produzir um metal básico é um processo extenso que requer habilidade. ^Deixar as coisas por muito tempo no forno torna-as duras e frágeis. ^Deixá-las pouco tempo tornará o resultado muito ruim.
qstr_You_got_keys_of_dung|Você tem as chaves do calabouço.
qstr_Construction_finishe|Construção finalizada!
qstr_Your_prestige_has_in|Seu Prestígio aumentou em {reg0}
qstr_Please_move_yoursel|Por favor, mova-se {reg1}cm para fora do prédio para que seus trabalhadores possam terminá-lo.
qstr_Fog_=_{reg1}|Névoa = {reg1}
qstr_Press_Tab_to_end_the|Pressione Tab para terminar a batalha.
qstr_You_were_defeated.|Você foi derrotado.
qstr_Rotate_with_the_mous|Olhe em volta com o mouse. Mova-se com os controles padrões.
qstr_Shift/Control_for_Up|Shift/Control para Subir/Descer. Barra de espaço para aumentar a velocidade.
qstr_Numpad_Plus/Minus_to|Teclas numéricas/Tecla Menos para mudar a sensibilidade. Teclas numéricas para olhar em volta.
qstr_Home_to_reset_positi|Para redefinir a posição. End para girar a rotação do eixo Y
qstr_Y_Rotation_Inverted|Y-Rotação invertida
qstr_Y_Rotation_Normal|Y-Rotação Normal
qstr_Sensitivity___25%__{|Sensibilidade - 25% ({reg8}, {reg9})
qstr_Sensitivity_+_25%__{|Sensibilidade + 25% ({reg8}, {reg9})
qstr_Forming_ranks.|Formando fileiras.
qstr_The_placement_of_{s1|A colocação da diivisão {s1}, {reg0} memorizada.
qstr_The_placement_of_{s1}|A colocação da diivisão {s1}, {reg0} voltou ao padrão
qstr_...and_attack_enemy_|... e ataca divisão inimiga de {s1}!
qstr_Division_{reg0}:_ret|Divisão {reg0}: retornando depois de destruir a diivisão inimiga {s1}.
qstr_Combat_abilities_^^N|Habilidades de combate ^^Tecla 1 : Raiva, +5 Potência de Golpe, +5 Potência de Arremesso, +5 Agilidade, dura por 2xForça segundos, requer 14 Força ^^Tecla 2 : Foco, +10xInteligência para habilidades em armas, +5 Agilidade, dura por 2xInteligência segundos, requer 14 Inteligência ^^Tecla 3 : Velocidade, +7 Atletismo, +15 Agilidade, dura por 2xAgilidade segundos, requer 14 Agilidade ^^Tecla 4 : Assobio Para Cavalo, chame um cavalo até você, mais de um se tiver muito Carisma, requer 14 Charisma ^^Tecla 5 : Primeiros Socorros, trate suas feridas imediatamente para voltar a batalha 3xPrimeirosSocorros+Inteligência pontos de vida, requer 14 Inteligência ^^Tecla 6 : Inspirar Tropas, reunir suas tropas feridas para lutar e voltar a batalha 3xLiderança+Carisma% dos seus pontos de vida ^^Tecla 7 : Grito de Guerra, solta um grito terrível para aterrorizar oponentes mais fracos ao seu redor ^^Tecla 8 : Provocação, atraia a atenção dos seus inimigos, quanto mais Carisma, mais inimigos ^^Tecla 9 : Muralha Defensiva, consome seus gabiões, para colocar uma estrutura defensiva você olha na direção e determinará a posição ^^Todas as habilidades de combate podem ser usadas a cada 60 segundos em batalha  ^^Pressione N para fechar a ajuda.
qstr__| 
qstr_Press_Z_to_view_Comb|Pressione Z para ver as Habilidades de Combate.
qstr_You_whistle_for_a_ho|Você assobia para um cavalo!
qstr_You_taunt_your_enemi|Você insulta seus inimigos!
qstr_You_unleash_a_fearso|Você solta um grito terrível!
qstr_You_treat_your_wound|Você trata suas feridas! (recuperou {reg1} pontos de vida)
qstr_You_inspire_your_men|Você inspirou seus homens! (tropas feridas recuperam {reg1}% pontos de vida)
qstr_You_rage_in_battle!|Você se enfurece na batalha!
qstr_Your_rage_dies_down.|Sua raiva acabou...
qstr_Your_rage_dies_down..|Sua raiva acabou... 
qstr_You_push_yourself_to|Você se esforça até o limite!
qstr_You_are_out_of_breat|Você está sem fôlego... 
qstr_You_are_out_of_breath|Você está sem fôlego.. 
qstr_You_focus_on_your_we|Você se concentra completamente em sua arma!
qstr_Your_lose_your_focus|Você perdeu o foco...
qstr_Your_lose_your_focus.|Você perdeu o foco... 
qstr_You_ve_created_a_def|Você criou uma estrutura defensiva de gabiões.
qstr_You_must_stay_behind|Você deve permanecer atrás da linha! O ponto não foi considerado.
qstr_Tutorial|.
qstr_There_are_4_chests.|Existem 4 baús.
qstr_5_Prestige_Points_ea|5 Pontos de Prestígio ganhos.
qstr_Be_good_and_virtuous|Seja bom e virtuoso, filho.
qstr_And_good_deeds_you_s|E boas ações você deve fazer, te faria feliz e recompensado no próximo mundo.
qstr_Gloria_Patri|Gloria Patri,
qstr_et_Filio|et Filio,
qstr_et_Spiritui_Sancto.|et Spiritui Sancto.
qstr_Sicut_erat_in_princi|Sicut erat in principio
qstr_et_nunc|et nunc,
qstr_et_semper|et semper,
qstr_et_in_saecula_saecul|et in saecula saeculorum.
qstr_Oh_God_forge_their_|Oh Deus, forje seus corações juntos
qstr_that_your_children_s|que seus filhos aprendam a amar.
qstr_and_respect_one_anot|e respeitar um ao outro.
qstr_Amen.|Amém.
qstr_Qui_pridie_quam_pate|Qui pridie quam pateretur,
qstr_accepit_panem_in_san|accepit panem in sanctas,
qstr_ac_venerabiles_manus|ac venerabiles manus suas,
qstr_et_elevatis_oculis_i|et elevatis oculis in caelum
qstr_ad_te_Deum_Patrem_su|ad te Deum Patrem suum omnipotentem,
qstr_tibi_gratias_agens|tibi gratias agens,
qstr_benedixit|benedixit,
qstr_fregit|fregit,
qstr_deditque_discipulis_|deditque discipulis suis, dicens:
qstr_Accipite_et_manduca|Accipite, et manducate ex hoc omnes,
qstr_hoc_est_enim_Corpus_|hoc est enim Corpus Meum.
qstr_Deo_gratias._Amen!|Deo gratias. Amen!
qstr_Benedicat_vos_omnipo|Benedicat vos omnipotens Deus,
qstr_Pater|Pater,
qstr_et_Filius|et Filius,
qstr_et_Spiritus_Sanctus.|et Spiritus Sanctus.
qstr_Gloria_tibi_Domine.|Gloria tibi, Domine.
qstr_Amen|Amen
qstr_30_Prestige_Points_e|30 Pontos de Prestígio ganhos.
qstr_Do_you_wish_to_sell_|Você deseja vender seu item trabalhado para a cidade por {reg3} Florins? Isso resulta em um lucro estimado de {reg4} Fl. Você também pode manter o item, mas a Guilda não garantirá mais um preço de venda fixo para este item.
qstr_Sell!|Vender!
qstr_Keep!|Manter!
qstr_You_can_quarry_stone|Você pode extrair pedras e 3 tipos de minério da mina. Certifique-se de ter a picareta de mineração equipada. Entre na caverna e acerte a pedra/minério várias vezes para coletá-la. Existem minérios de ferro, prata e um pouco mais raro: ouro. Você precisa fundir minérios subindo a escada da fornalha e interagindo com o carrinho. Divirta-se!
qstr_Mining_Tutorial|Tutorial de Mineração
qstr_The_mine_has_collaps|A mina desabou sob sua cabeça. Você cai inconsciente. Os mineiros o salvaram, mas os minérios, ferro, ouro, prata e lingotes de aço são deixados para trás.
qstr_Mine_Collapse|Colapso da Mina
qstr_This_cave_has_6_ches|Esta caverna tem 6 baús.
qstr_This_cave_has_10_sil|Esta caverna tem 10 veias de prata, cavar para obter minério de prata.
qstr_You_have_been_caught|Você foi pego.
qstr_A_trap_killed_you!|Uma armadilha te matou!
qstr_Interact_with_the_wo|Interaja com a bancada de trabalho da pequena cabana para plantar sementes ou colher campos.
qstr_You_have_found_some_|Você encontrou algumas sementes!
qstr_1_Prestige_Points_ea|1 Pontos de Prestígio ganhos.
qstr_Congratulations_with|Parabéns pela sua primeira colônia! ^^No entanto, a partir de agora você terá um tempo para fazer sua colônia sobreviver. Esta é uma introdução à mecânica do gerenciamento de colônias. Seu principal objetivo é obter lucros, obtendo bens de comércio como tabaco e prata. Antes que você possa obtê-los, você precisa ter colonos. Construa casas para fornecer abrigo. Ao atingir uma população de 50, 100 e 150, respectivamente, você terá acesso a novos edifícios que são necessários. Para iniciar a construção, pressione a tecla B para abrir a visão geral da construção. Tenha em mente que você não pode construir mais de 100 edifícios. Divirta-se!^^^
qstr_Construction_Tutoria|Tutorial de Construção
qstr_Building_limit_reach|Limite de construção atingido! Você não pode ter mais de 100 edifícios.
qstr_Constructing:_^Movin|Construção: ^Movimento = Setas do Teclado ^Rotação = Home/End ^Mudar a altura = Page Up/Down ^Descer devagar = Control ^Enter = Salvar posicionamento ^H = Desabilitar/Habilitar descrição ^Delete = Destruir o edifício ^Selecione construção = Backspace
qstr_You_ve_started_const|Você começou a construir sua própria colônia. Mova os edifícios com as teclas de seta. Altere a altura com as teclas Page Up/Down. Mover Lentamente; segure o Control. Use as teclas Home e End para girar. Não se esqueça de sempre pressionar Enter após construir/excluir cada estrutura. Selecione o prédio mais próximo com Backspace. Então você pode movê-lo ou usar a tecla Delete para destruí-lo. Lembre-se de que é de extrema importância pressionar Enter para memorizar o último edifício selecionado ou excluído. Não é possível salvar a posição de vários edifícios. Use a tecla L para ver os controles. Desativar mensagem de ajuda no log com a tecla H.^^
qstr_Help_text_disabled.|Texto de ajuda desativado.
qstr_Help_text_enabled.|Texto de ajuda ativado.
qstr_Building_deleted.|Construção excluída.
qstr_{s0}_selected.|{s0} selecionado.
qstr_{reg1}_Prestige_Poin|{reg1} Pontos de Prestígio ganhos.
qstr_Half_of_resources_ar|Metade dos recursos são recuperados e devolvidos ao estoque da colônia.
qstr_Placement_sucessfull|Posicionamento salvo com sucesso.
qstr_No_one|Ninguém
qstr_DEBUG__Weapon_AI_:_{|DEBUG (Ia da Arma): o inimigo mais próximo de {s2} é {s1} a uma distância de {reg0}.
qstr_DEBUG__TPE_:_{s2}_is|DEBUG (TPE): {s2} está empunhando uma lança a pé e descarta o escudo.
qstr_AWARD_GRANTED:_{s1}_has_e|CONQUISTA ALCANÇADA: {s1} recebeu o prêmio APROXIMAÇÃO CAUTELOSA!
qstr_You_have_earned_{reg|Você ganhou {reg4} florins por sua sábia aposta nesta rodada.
qstr_{s31}{reg32}|{s31}{reg32}
qstr_Match_Time___{reg31}|Tempo de Partida - {reg31}:{s32}
qstr_Stalemate_Timer___0:|Tempo de Preparação - 0:{s32}
qstr_{s31}|{s31}
qstr_DEBUG__TPE_:_Stalema|DEBUG (TPE): Tempo de preparação resetado.  Ataque registrado aos {reg1} segundos.
qstr_red|vermelho
qstr_blue|azul
qstr_green|verde
qstr_yellow|amarelo
qstr_The_Tournament_Master|O Mestre de Torneios anuncia: "Ponto concedido ao time {s1} por nocautear um oponente.
qstr_Your_ally_{s1}_del|Your ally, {s1}, delivers {reg1} damage to {s2}.
qstr_taunts|insultos
qstr_You_shall_be_walking|Você deveria ir para casa, eu fico com essa sua bolsa!
qstr_bellows|fole
qstr_Just_who_s_side_are_|Afinal de que lado você está?
qstr__at_| em
qstr_{s1}_{s2}__{s3}_{s4|{s1} {s2}, '{s3}'{s4}{s5}.
qstr_You_have_fallen_duri|Você caiu, mas poderá continuar na próxima rodada quando esta terminar.
qstr_DEBUG__TPE_:_Horse__|DEBUG (TPE): Cavalo "{s32}" #{reg31} está sem cavaleiro e será removido.
qstr_DEBUG__TPE_AI_:_{s2}|DEBUG (TPE AI): {s2} recebe {reg2} pontos de dano reduzidos de {reg1}.
qstr_Cheat_Mode_activated|Cheat Mode activated.
qstr_Game_registers_resto|Registros do jogo restaurados.
qstr_My_Lord_^^We_can_ha|{Meu Senhor/Minha Senhora}, ^^ Podemos alegremente informar que sua colônia {s1} atingiu uma população de 50 colonos! Novos edifícios estão disponíveis.
qstr_New_buildings_availa|Novos edifícios disponíveis!
qstr_My_Lord_^^We_can_hap|{Meu Senhor/Minha Senhora}, ^^ Podemos alegremente informar que sua colônia {s1} atingiu uma população de 100 colonos! Novos edifícios estão disponíveis.
qstr_My_Lord_^^We_can_happ|{Meu Senhor/Minha Senhora}, ^^ Podemos alegremente informar que sua colônia atingiu uma população de 150 colonos! Novos edifícios estão disponíveis. Agora você tem todos os edifícios disponíveis!
qstr_Sir_^^Your_colony_{|{Senhor/Senhora}, ^^ Sua colônia {s1} foi sitiada por {s2} do {s3}. Você tem {reg1} dias antes de romper suas defesas!
qstr_Colony_Besieged|Colônia sitiada.
