itm_no_item|ITEM INVÁLIDO
itm_norman_helmet_pl|Elmo Acolchoado
itm_segmented_helmet|Elmo Segmentado
itm_segmented_helmet_pl|Elmo Segmentado
itm_helmet_with_neckguard|Elmo com Proteção de Pescoço
itm_helmet_with_neckguard_pl|Elmo com Proteção de Pescoço
itm_flat_topped_helmet|Elmo de Topo Chato
itm_flat_topped_helmet_pl|Elmo de Topo Chato
itm_kettle_hat|Capelina
itm_kettle_hat_pl|Capelina
itm_spiked_helmet|Elmo de Ponta
itm_spiked_helmet_pl|Elmo de Ponta
itm_nordic_helmet|Elmo nórdico
itm_nordic_helmet_pl|Elmo nórdico
itm_khergit_lady_hat|Sombreiro de Dama Khergita
itm_khergit_lady_hat_pl|Sombreiro de Dama Khergita
itm_khergit_lady_hat_b|Sombreiro de Couro de Dama Khergita
itm_khergit_lady_hat_b_pl|Sombreiro de Couro de Dama Khergita
itm_sarranid_felt_hat|Sombreiro de Feltro Sarranide
itm_sarranid_felt_hat_pl|Sombreiro de Feltro Sarranide
itm_turban|Turbante
itm_turban_pl|Turbante
itm_desert_turban|Turbante do Deserto
itm_desert_turban_pl|Turbante do Deserto
itm_sarranid_warrior_cap|Gorro de Guerreiro Sarranide
itm_sarranid_warrior_cap_pl|Gorro de Guerreiro Sarranide
itm_sarranid_horseman_helmet|Elmo de Ginete
itm_sarranid_horseman_helmet_pl|Elmo de Ginete
itm_sarranid_helmet1|Keffiyeh Sarranide
itm_sarranid_helmet1_pl|Keffiyeh Sarranide
itm_sarranid_mail_coif|Coifa de Malha Sarranide
itm_sarranid_mail_coif_pl|Coifa de Malha Sarranide
itm_sarranid_veiled_helmet|Elmo com Véu Sarranide
itm_sarranid_veiled_helmet_pl|Elmo com Véu Sarranide
itm_nordic_archer_helmet|Elmo de Couro nórdico
itm_nordic_archer_helmet_pl|Elmo de Couro nórdico
itm_nordic_veteran_archer_helmet|Elmo de Couro nórdico
itm_nordic_veteran_archer_helmet_pl|Elmo de Couro nórdico
itm_nordic_footman_helmet|Elmo de Soldado nórdico
itm_nordic_footman_helmet_pl|Elmo de Soldado nórdico
itm_nordic_fighter_helmet|Elmo de Guerreiro nórdico
itm_nordic_fighter_helmet_pl|Elmo de Guerreiro nórdico
itm_nordic_huscarl_helmet|Elmo de huscarl nórdico
itm_nordic_huscarl_helmet_pl|Elmo de huscarl nórdico
itm_nordic_warlord_helmet|Elmo do jarl
itm_nordic_warlord_helmet_pl|Elmo do jarl
itm_vaegir_fur_cap|Gorro de Peles
itm_vaegir_fur_cap_pl|Gorro de Peles
itm_vaegir_fur_helmet|Elmo Vaegir
itm_vaegir_fur_helmet_pl|Elmo Vaegir
itm_vaegir_spiked_helmet|Gorro Pontiagudo Vaegir
itm_vaegir_spiked_helmet_pl|Gorro Pontiagudo Vaegir
itm_vaegir_lamellar_helmet|Elmo Lamelar
itm_vaegir_lamellar_helmet_pl|Elmo Lamelar
itm_vaegir_noble_helmet|Elmo de nobre Vaegir
itm_vaegir_noble_helmet_pl|Elmo de nobre Vaegir
itm_vaegir_war_helmet|Elmo de Guerra Vaegir
itm_vaegir_war_helmet_pl|Elmo de Guerra Vaegir
itm_vaegir_mask|Máscara de Guerra Vaegir
itm_vaegir_mask_pl|Máscara de Guerra Vaegir
itm_vaegir_helmet_8|Elmo de Guerra Vaegir
itm_vaegir_helmet_8_pl|Elmo de Guerra Vaegir
itm_bascinet|Bacinete
itm_bascinet_pl|Bacinete
itm_bascinet_2|Bacinete com Almofar
itm_bascinet_2_pl|Bacinete com Almofar
itm_bascinet_3|Bacinete com Proteção de Nariz
itm_bascinet_3_pl|Bacinete com Proteção de Nariz
itm_guard_helmet|Elmo de Guarda
itm_guard_helmet_pl|Elmo de Guarda
itm_black_helmet_native|Elmo Preto
itm_black_helmet_native_pl|Elmo Preto
itm_full_helm|Elmo Completo
itm_full_helm_pl|Elmo Completo
itm_great_helmet|Grande elmo
itm_great_helmet_pl|Grande elmo
itm_winged_great_helmet|Grande elmo Alado
itm_winged_great_helmet_pl|Grande elmo Alado
itm_scimitar|Cimitarra
itm_scimitar_pl|Cimitarra
itm_scimitar_b|Cimitarra de elite
itm_scimitar_b_pl|Cimitarra de elite
itm_arabian_sword_a|Espada Sarranide
itm_arabian_sword_a_pl|Espada Sarranide
itm_arabian_sword_b|Espada de Combate Sarranide
itm_arabian_sword_b_pl|Espada de Combate Sarranide
itm_sarranid_cavalry_sword|Espada de Cavalaria Sarranide
itm_sarranid_cavalry_sword_pl|Espada de Cavalaria Sarranide
itm_arabian_sword_d|Espada de Guarda Sarranide
itm_arabian_sword_d_pl|Espada de Guarda Sarranide
itm_falchion|Alfange
itm_falchion_pl|Alfange
itm_sword_two_handed_b|Claymore
itm_sword_two_handed_b_pl|Claymore
itm_sword_two_handed_a|Grande Espada
itm_sword_two_handed_a_pl|Grande Espada
itm_bastard_sword_a|Espada Bastarda
itm_bastard_sword_a_pl|Espada Bastarda
itm_bastard_sword_b|Espada Bastarda Pesada
itm_bastard_sword_b_pl|Espada Bastarda Pesada
itm_sword_medieval_a|Espada
itm_sword_medieval_a_pl|Espada
itm_sword_medieval_b|Espada
itm_sword_medieval_b_pl|Espada
itm_sword_medieval_b_small|Espada Curta
itm_sword_medieval_b_small_pl|Espada Curta
itm_sword_medieval_c|Espada normanda
itm_sword_medieval_c_pl|Espada normanda
itm_sword_medieval_c_small|Espada normanda Curta
itm_sword_medieval_c_small_pl|Espada normanda Curta
itm_sword_medieval_c_long|Espada normanda Longa
itm_sword_medieval_c_long_pl|Espada normanda Longa
itm_sword_medieval_d_long|Espada normanda Longa
itm_sword_medieval_d_long_pl|Espada normanda Longa
itm_sword_viking_1|Espada nórdica
itm_sword_viking_1_pl|Espada nórdica
itm_sword_viking_2|Espada nórdica
itm_sword_viking_2_pl|Espada nórdica
itm_sword_viking_2_small|Espada nórdica Curta
itm_sword_viking_2_small_pl|Espada nórdica Curta
itm_sword_viking_3|Espada nórdica de Guerra
itm_sword_viking_3_pl|Espada nórdica de Guerra
itm_sword_viking_3_small|Espada nórdica de Guerra Curta
itm_sword_viking_3_small_pl|Espada nórdica de Guerra Curta
itm_sword_khergit_1|Sabre nômade
itm_sword_khergit_1_pl|Sabre nômade
itm_sword_khergit_2|Sabre
itm_sword_khergit_2_pl|Sabre
itm_sword_khergit_3|Sabre
itm_sword_khergit_3_pl|Sabre
itm_sword_khergit_4|Sabre Pesado
itm_sword_khergit_4_pl|Sabre Pesado
itm_khergit_sword_two_handed_a|Sabre a Duas Mãos
itm_khergit_sword_two_handed_a_pl|Sabre a Duas Mãos
itm_khergit_sword_two_handed_b|Sabre a Duas Mãos
itm_khergit_sword_two_handed_b_pl|Sabre a Duas Mãos
itm_longsword|Espada Longa
itm_longsword_pl|Espada Longa
itm_danish_greatsword|Grande Espada
itm_danish_greatsword_pl|Grande Espada
itm_espada_eslavona_a|Eslavona
itm_espada_eslavona_a_pl|Eslavona
itm_espada_eslavona_b|Eslavona
itm_espada_eslavona_b_pl|Eslavona
itm_english_longsword|Espada Longa Inglesa
itm_english_longsword_pl|Espada Longa Inglesa
itm_german_bastard_sword|Espada Bastarda
itm_german_bastard_sword_pl|Espada Bastarda
itm_italian_sword|Espada Italiana
itm_italian_sword_pl|Espada Italiana
itm_side_sword|Espada Lateral
itm_side_sword_pl|Espada Lateral
itm_milanese_sword|Espada Curta
itm_milanese_sword_pl|Espada Curta
itm_longbowman_sword|Espada de Arqueiro
itm_longbowman_sword_pl|Espada de Arqueiro
itm_italian_falchion|Cimitarra Italiana
itm_italian_falchion_pl|Cimitarra Italiana
itm_scottish_sword|Espada Escocesa
itm_scottish_sword_pl|Espada Escocesa
itm_crusader_sword|Espada Longa Cruzada
itm_crusader_sword_pl|Espada Longa Cruzada
itm_grosse_messer|Grande Messer
itm_grosse_messer_pl|Grande Messer
itm_grosse_messer_b|Grande Messer
itm_grosse_messer_b_pl|Grande Messer
itm_irish_sword|Espada Irlandesa
itm_irish_sword_pl|Espada Irlandesa
itm_sword_khergit_two_handed_b|Espada de Duas Mãos Turguhn
itm_sword_khergit_two_handed_b_pl|Espada de Duas Mãos Turguhn
itm_sword_khergit_two_handed_a|Espada de Duas Mãos Turguhn
itm_sword_khergit_two_handed_a_pl|Espada de Duas Mãos Turguhn
itm_bb_romeyan_sword_1|Gládio
itm_bb_romeyan_sword_1_pl|Gládio
itm_bb_serbian_falchion_b|Cimitarra Therean
itm_bb_serbian_falchion_b_pl|Cimitarra Therean
itm_bb_serbian_sword_1|Espada Therean
itm_bb_serbian_sword_1_pl|Espada Therean
itm_bb_rus_sword_1|Espada Vaegir
itm_bb_rus_sword_1_pl|Espada Vaegir
itm_bb_rus_sword_2|Espada Vaegir
itm_bb_rus_sword_2_pl|Espada Vaegir
itm_bb_rus_sword_3_l95|Espada Vaegir
itm_bb_rus_sword_3_l95_pl|Espada Vaegir
itm_bb_rus_sword_4_l95|Espada Vaegir
itm_bb_rus_sword_4_l95_pl|Espada Vaegir
itm_bb_rus_sword_5_l95|Espada Vaegir
itm_bb_rus_sword_5_l95_pl|Espada Vaegir
itm_bb_rus_sword_6_l95|Espada Vaegir
itm_bb_rus_sword_6_l95_pl|Espada Vaegir
itm_bb_norman_sword_1|Espada Normanda
itm_bb_norman_sword_1_pl|Espada Normanda
itm_bb_norman_sword_2|Espada Normanda
itm_bb_norman_sword_2_pl|Espada Normanda
itm_bb_norman_sword_3|Espada Normanda
itm_bb_norman_sword_3_pl|Espada Normanda
itm_bb_norman_sword_4|Espada Normanda
itm_bb_norman_sword_4_pl|Espada Normanda
itm_bb_falchion_1|Cimitarra
itm_bb_falchion_1_pl|Cimitarra
itm_bb_falchion_2|Cimitarra
itm_bb_falchion_2_pl|Cimitarra
itm_bb_falchion_3|Cimitarra
itm_bb_falchion_3_pl|Cimitarra
itm_gladius|Gládio
itm_gladius_pl|Gládio
itm_jack_anduril|Aethur
itm_jack_anduril_pl|Aethur
itm_jack_boromir|Valanir
itm_jack_boromir_pl|Valanir
itm_jack_faramir|Faladar
itm_jack_faramir_pl|Faladar
itm_jack_glamdring|Gloiniar
itm_jack_glamdring_pl|Gloiniar
itm_jack_herugrim|Yanastasia
itm_jack_herugrim_pl|Yanastasia
itm_jack_sting|Gothar
itm_jack_sting_pl|Gothar
itm_cheapsword1|Rapieira
itm_cheapsword1_pl|Rapieira
itm_cheapsword2|Rapieira
itm_cheapsword2_pl|Rapieira
itm_cheapsword3|Rapieira
itm_cheapsword3_pl|Rapieira
itm_goodrapier1|Rapieira
itm_goodrapier1_pl|Rapieira
itm_goodrapier2|Rapieira
itm_goodrapier2_pl|Rapieira
itm_goodrapier3|Rapieira
itm_goodrapier3_pl|Rapieira
itm_goodrapier4|Rapieira
itm_goodrapier4_pl|Rapieira
itm_goodsword1|Rapieira
itm_goodsword1_pl|Rapieira
itm_goodsword2|Rapieira
itm_goodsword2_pl|Rapieira
itm_bb_paramerion|Paramerion
itm_bb_paramerion_pl|Paramerion
itm_bb_spathion|Spathion
itm_bb_spathion_pl|Spathion
itm_great_sword|Grande Espada
itm_great_sword_pl|Grande Espada
itm_sword_of_war|Espada da Guerra
itm_sword_of_war_pl|Espada da Guerra
itm_swords_end|fim das Espadas
itm_swords_end_pl|fim das Espadas
itm_hatchet|Machadinha
itm_hatchet_pl|Machadinha
itm_hand_axe|Machado Leve
itm_hand_axe_pl|Machado Leve
itm_fighting_axe|Machado de Combate
itm_fighting_axe_pl|Machado de Combate
itm_axe|Machado
itm_axe_pl|Machado
itm_voulge_native|Voulge
itm_voulge_native_pl|Voulge
itm_battle_axe|Machado de Batalha
itm_battle_axe_pl|Machado de Batalha
itm_war_axe|Machado de Guerra
itm_war_axe_pl|Machado de Guerra
itm_one_handed_war_axe_a|Machado de Guerra Leve
itm_one_handed_war_axe_a_pl|Machado de Guerra Leve
itm_one_handed_battle_axe_a|Machado de Batalha Leve
itm_one_handed_battle_axe_a_pl|Machado de Batalha Leve
itm_one_handed_war_axe_b|Machado de Guerra Leve
itm_one_handed_war_axe_b_pl|Machado de Guerra Leve
itm_one_handed_battle_axe_b|Machado de Batalha Leve
itm_one_handed_battle_axe_b_pl|Machado de Batalha Leve
itm_one_handed_battle_axe_c|Machado de Batalha Leve
itm_one_handed_battle_axe_c_pl|Machado de Batalha Leve
itm_two_handed_axe|Machado a Duas Mãos
itm_two_handed_axe_pl|Machado a Duas Mãos
itm_two_handed_battle_axe_2|Machado de Guerra a Duas Mãos
itm_two_handed_battle_axe_2_pl|Machado de Guerra a Duas Mãos
itm_shortened_voulge|Voulge Curto
itm_shortened_voulge_pl|Voulge Curto
itm_great_axe|Grande Machado
itm_great_axe_pl|Grande Machado
itm_long_axe|Machado Longo
itm_long_axe_pl|Machado Longo
itm_long_axe_alt|Machado Longo
itm_long_axe_alt_pl|Machado Longo
itm_long_axe_b|Machado de Guerra Longo
itm_long_axe_b_pl|Machado de Guerra Longo
itm_long_axe_b_alt|Machado de Guerra Longo
itm_long_axe_b_alt_pl|Machado de Guerra Longo
itm_long_axe_c|Grande Machado Longo
itm_long_axe_c_pl|Grande Machado Longo
itm_long_axe_c_alt|Grande Machado Longo
itm_long_axe_c_alt_pl|Grande Machado Longo
itm_bardiche|Bardiche
itm_bardiche_pl|Bardiche
itm_great_bardiche|Grande Bardiche
itm_great_bardiche_pl|Grande Bardiche
itm_voulge|Voulge
itm_voulge_pl|Voulge
itm_long_bardiche|Bardiche Longo
itm_long_bardiche_pl|Bardiche Longo
itm_great_long_bardiche|Grande Bardiche Longo
itm_great_long_bardiche_pl|Grande Bardiche Longo
itm_hafted_blade_b|Lâmina com empunhadura
itm_hafted_blade_b_pl|Lâmina com empunhadura
itm_hafted_blade_a|Lâmina com empunhadura
itm_hafted_blade_a_pl|Lâmina com empunhadura
itm_shortened_military_scythe|Foice Militar Encurtada
itm_shortened_military_scythe_pl|Foice Militar Encurtada
itm_sarranid_axe_a|Machado de Ferro de Batalha
itm_sarranid_axe_a_pl|Machado de Ferro de Batalha
itm_sarranid_axe_b|Machado de Ferro de Batalha
itm_sarranid_axe_b_pl|Machado de Ferro de Batalha
itm_sarranid_two_handed_axe_a|Machado de Batalha Sarranide
itm_sarranid_two_handed_axe_a_pl|Machado de Batalha Sarranide
itm_sarranid_two_handed_axe_b|Machado de Guerra Sarranide
itm_sarranid_two_handed_axe_b_pl|Machado de Guerra Sarranide
itm_bb_varyag_axe|Machado Varyag
itm_bb_varyag_axe_pl|Machado Varyag
itm_bb_serbian_two_handed_axe_a|Machado de Duas Mãos Therean
itm_bb_serbian_two_handed_axe_a_pl|Machado de Duas Mãos Therean
itm_bb_serbian_two_handed_axe_b|Machado de Duas Mãos Therean
itm_bb_serbian_two_handed_axe_b_pl|Machado de Duas Mãos Therean
itm_bb_serbian_two_handed_axe_c|Machado de Duas Mãos Therean
itm_bb_serbian_two_handed_axe_c_pl|Machado de Duas Mãos Therean
itm_bb_serbian_two_handed_axe_d|Machado de Duas Mãos Therean
itm_bb_serbian_two_handed_axe_d_pl|Machado de Duas Mãos Therean
itm_bb_serbian_two_handed_axe_e|Machado de Duas Mãos Therean
itm_bb_serbian_two_handed_axe_e_pl|Machado de Duas Mãos Therean
itm_bb_slavic_axe|Eslavocaxe
itm_bb_slavic_axe_pl|Eslavocaxe
itm_bb_2h_slavic_axe_longer|Machado Longo Eslavoc
itm_bb_2h_slavic_axe_longer_pl|Machado Longo Eslavoc
itm_bb_slavic_great_axe|Grande Machado Eslavoc
itm_bb_slavic_great_axe_pl|Grande Machado Eslavoc
itm_bb_serbian_hatchet|Machadinha Therean
itm_bb_serbian_hatchet_pl|Machadinha Therean
itm_bb_serbian_hand_axe|Machadinha Therean
itm_bb_serbian_hand_axe_pl|Machadinha Therean
itm_bb_serbian_one_handed_axe_a|Machado de Uma Mão Therean
itm_bb_serbian_one_handed_axe_a_pl|Machado de Uma Mão Therean
itm_bb_serbian_one_handed_axe_b|Machado de Uma Mão Therean
itm_bb_serbian_one_handed_axe_b_pl|Machado de Uma Mão Therean
itm_bb_serbian_fighting_axe_a|Machado de Combate Therean
itm_bb_serbian_fighting_axe_a_pl|Machado de Combate Therean
itm_bb_serbian_one_handed_fighting_axe_b|Machado de Combate Therean de Uma Mão
itm_bb_serbian_one_handed_fighting_axe_b_pl|Machado de Combate Therean de Uma Mão
itm_bb_serbian_one_handed_fighting_axe_b_L52_L52|Machado de Combate Therean de Uma Mão
itm_bb_serbian_one_handed_fighting_axe_b_L52_L52_pl|Machado de Combate Therean de Uma Mão
itm_bb_serbian_one_handed_battle_axe_a|Machado de Batalha Therean de Uma Mão
itm_bb_serbian_one_handed_battle_axe_a_pl|Machado de Batalha Therean de Uma Mão
itm_bb_serbian_one_handed_battle_axe_b_L61|Machado de Batalha Therean de Uma Mão
itm_bb_serbian_one_handed_battle_axe_b_L61_pl|Machado de Batalha Therean de Uma Mão
itm_bb_english_war_axe_1|Machado de Guerra Inglês
itm_bb_english_war_axe_1_pl|Machado de Guerra Inglês
itm_bb_slavic_axe_1|Machado Eslavoc 
itm_bb_slavic_axe_1_pl|Machado Slavoc 
itm_bb_bulgarian_light_foot_axe|Machado Leve Davoc
itm_bb_bulgarian_light_foot_axe_pl|Machado Leve Davoc
itm_bb_slavic_hatchet|Machadinha Slavoc
itm_bb_slavic_hatchet_pl|Machadinha Eslavoc
itm_bb_slavic_hand_axe|Machado de Mão Eslavoc
itm_bb_slavic_hand_axe_pl|Machado de Mão Eslavoc
itm_bb_slavic_bearded_axe_3|Machado Barbudo Eslavoc
itm_bb_slavic_bearded_axe_3_pl|Machado Barbudo Eslavoc 
itm_bb_slavic_battle_axe_1_test|Machado de Batalha Eslavoc 
itm_bb_slavic_battle_axe_1_test_pl|Machado de Batalha Eslavoc
itm_bb_slavic_bearded_axe_3_long|Machado Barbudo Eslavoc Longo
itm_bb_slavic_bearded_axe_3_long_pl|Machado Barbudo Eslavoc Longo
itm_bb_slavic_battle_axe_1_test_long|Machado de Batalha Eslavoc Longo
itm_bb_slavic_battle_axe_1_test_long_pl|Machado de Batalha Eslavoc Longo
itm_bb_slavic_cavalry_axe_1|Machado de Cavalaria Eslavoc
itm_bb_slavic_cavalry_axe_1_pl|Machado de Cavalaria Eslavoc 
itm_bb_bonus_axe|Machado Afiado
itm_bb_bonus_axe_pl|Machado Afiado
itm_bb_central_european_bearded_axe_1|Machado Barbudo
itm_bb_central_european_bearded_axe_1_pl|Machado Barbudo
itm_bb_mammen|Mammen
itm_bb_mammen_pl|Mammen
itm_bb_nordic_short_axe_1|Machado Curto Nórdico
itm_bb_nordic_short_axe_1_pl|Machado Curto Nórdico
itm_bb_nordic_light_axe_1|Machado Leve Nórdico
itm_bb_nordic_light_axe_1_pl|Machado Leve Nórdico
itm_bb_nordic_small_axe|Machado Pequeno Nórdico
itm_bb_nordic_small_axe_pl|Machado Pequeno Nórdico
itm_bb_nordic_small_bearded_axe_1|Mahcado Pequeno Barbado Nórdico
itm_bb_nordic_small_bearded_axe_1_pl|Machado Pequeno Barbado Nórdico
itm_bb_small_bearded_axe_2|Machado Barbado Pequeno
itm_bb_small_bearded_axe_2_pl|Machado Barbado Pequeno
itm_axe1|Machado
itm_axe1_pl|Machado
itm_axe2|Machado
itm_axe2_pl|Machado
itm_battleaxe1|Machado de Batalha
itm_battleaxe1_pl|Machado de Batalha
itm_battleaxe2|Machado de Batalha
itm_battleaxe2_pl|Machado de Batalha
itm_axes_end|fim dos Machados
itm_axes_end_pl|fim dos Machados
itm_scythe|Gadanha
itm_scythe_pl|Gadanha
itm_pitch_fork|Forcado
itm_pitch_fork_pl|Forcado
itm_military_fork|Forcado Militar
itm_military_fork_pl|Forcado Militar
itm_battle_fork|Forcado de Batalha
itm_battle_fork_pl|Forcado de Batalha
itm_boar_spear|Lança de Caça
itm_boar_spear_pl|Lança de Caça
itm_glaive|Glaive
itm_glaive_pl|Glaive
itm_poleaxe|Machado de Haste
itm_poleaxe_pl|Mahcado de Haste
itm_polehammer|Martelo de Haste
itm_polehammer_pl|Martelo de Haste
itm_staff|Bastão
itm_staff_pl|Bastão
itm_quarter_staff|Bastão Longo
itm_quarter_staff_pl|Bastão Longo
itm_iron_staff|Bastão de Ferro
itm_iron_staff_pl|Bastão de Ferro
itm_shortened_spear|Lança encurtada
itm_shortened_spear_pl|Lança encurtada
itm_spear|Lança
itm_spear_pl|Lança
itm_bamboo_spear|Lança de Bambu
itm_bamboo_spear_pl|Lança de Bambu
itm_war_spear|Lança de Guerra
itm_war_spear_pl|Lança de Guerra
itm_military_scythe|Gadanha Militar
itm_military_scythe_pl|Gadanha Militar
itm_ashwood_pike|Pique de Freixo
itm_ashwood_pike_pl|Pique de Freixo
itm_awlpike|Ahlspiess
itm_awlpike_pl|Ahlspiess
itm_awlpike_long|Ahlspiess Longa
itm_awlpike_long_pl|Ahlspiess Longa
itm_jousting_lance|Lança de Justas
itm_jousting_lance_pl|Lança de Justas
itm_double_sided_lance|Lança de Pontas Duplas
itm_double_sided_lance_pl|Lança de Pontas Duplas
itm_colored_lance_a|Lança Colorida 
itm_colored_lance_a_pl|Lança Colorida 
itm_colored_lance_b|Lança Colorida 
itm_colored_lance_b_pl|Lança Colorida 
itm_colored_lance_c|Lança Colorida 
itm_colored_lance_c_pl|Lança Colorida 
itm_colored_lance_d|Lança Colorida 
itm_colored_lance_d_pl|Lança Colorida 
itm_colored_lance_e|Lança Colorida 
itm_colored_lance_e_pl|Lança Colorida 
itm_colored_lance_f|Lança Colorida 
itm_colored_lance_f_pl|Lança Colorida 
itm_colored_lance_g|Lança Colorida 
itm_colored_lance_g_pl|Lança Colorida 
itm_light_lance|Lança Leve de Cavalaria
itm_light_lance_pl|Lança Leve de Cavalaria
itm_lance|Lança de Cavalaria
itm_lance_pl|Lança de Cavalaria
itm_heavy_lance|Lança Pesada de Cavalaria
itm_heavy_lance_pl|Lança Pesada de Cavalaria
itm_great_lance|Lança Grande 
itm_great_lance_pl|Lança Grande 
itm_pike|Pique
itm_pike_pl|Pique
itm_pike1|Pique
itm_pike1_pl|Pique
itm_pike2|Pique
itm_pike2_pl|Pique
itm_bec_de_corbin_a|Martelo de Guerra
itm_bec_de_corbin_a_pl|Martelo de Guerra
itm_bill1|Alabarda
itm_bill1_pl|Alabarda
itm_bill2|Alabarda
itm_bill2_pl|Alabarda
itm_bill3|Alabarda
itm_bill3_pl|Alabarda
itm_fork1|Garfo
itm_fork1_pl|Garfo
itm_fork2|Garfo
itm_fork2_pl|Garfo
itm_partisan1|Partisan
itm_partisan1_pl|Partisan
itm_poleaxe1|Machado de Haste
itm_poleaxe1_pl|Machado de Haste
itm_poleaxe2|Machado de Haste
itm_poleaxe2_pl|Machado de Haste
itm_bb_serbian_spear_1|Lança Therean 
itm_bb_serbian_spear_1_pl|Lança Therean 
itm_bb_serbian_spear_2|Lança Therean 
itm_bb_serbian_spear_2_pl|Lança Therean 
itm_bb_serbian_spear_3|Lança Therean 
itm_bb_serbian_spear_3_pl|Lança Therean 
itm_bb_serbian_spear_4|Lança Therean
itm_bb_serbian_spear_4_pl|Lança Therean
itm_bb_serbian_spear_5|Lança Therean
itm_bb_serbian_spear_5_pl|Lança Therean
itm_bb_serbian_spear_6|Lança Therean
itm_bb_serbian_spear_6_pl|Lança Therean
itm_bb_serbian_hooked_spear_1|Lança Therean com Gancho  
itm_bb_serbian_hooked_spear_1_pl|Lança Therean com Gancho
itm_bb_serbian_hooked_spear_2|Lança Therean com Gancho
itm_bb_serbian_hooked_spear_2_pl|Lança Therean com Gancho
itm_bb_serbian_lance|Lança de Cavalaria Therean
itm_bb_serbian_lance_pl|Lança de Cavalaria Therean
itm_bb_serbian_sulica_1|Sulica Therean 
itm_bb_serbian_sulica_1_pl|Sulica Therean 
itm_bb_rus_spear_1_a|Lança Vaegir  
itm_bb_rus_spear_1_a_pl|Lança Vaegir  
itm_bb_rus_spear_1_b|Lança Vaegir  
itm_bb_rus_spear_1_b_pl|Lança Vaegir  
itm_bb_rus_spear_2|Lança Vaegir  
itm_bb_rus_spear_2_pl|Lança Vaegir  
itm_bb_rus_lance|Lança de Cavalaria Vaegir
itm_bb_rus_lance_pl|Lança de Cavalaria Vaegir
itm_bb_mongol_spear_1|Lança Khergita 
itm_bb_mongol_spear_1_pl|Lança Khergita 
itm_bb_mongol_light_lance|Lança Leve Khergita
itm_bb_mongol_light_lance_pl|Lança Leve Khergita
itm_bb_mongol_hooked_lance_1|Lança Khergita com Gancho 
itm_bb_mongol_hooked_lance_1_pl|Lança Khergita com Gancho
itm_turguhn_lance|Lança de Cavalaria Turguhn 
itm_turguhn_lance_pl|Lança de Cavalaria Turguhn 
itm_bb_rus_pike|Pique Vaegir
itm_bb_rus_pike_pl|Pique Vaegir
itm_poleaxe_a|Machado de Haste
itm_poleaxe_a_pl|Machado de Haste
itm_elegant_poleaxe|Machado de Haste
itm_elegant_poleaxe_pl|Machado de Haste
itm_german_poleaxe|Machado de Haste
itm_german_poleaxe_pl|Machado de Haste
itm_simple_poleaxe|Machado de Haste
itm_simple_poleaxe_pl|Machado de Haste
itm_bec_de_corbin|Bec de Corbin
itm_bec_de_corbin_pl|Bec de Corbin
itm_english_bill|Alabarda
itm_english_bill_pl|Alabarda
itm_swiss_halberd|Alabarda
itm_swiss_halberd_pl|Alabarda
itm_guisarme_a|Podão
itm_guisarme_a_pl|Podão
itm_german_hunting_spear|Lança de Caça
itm_german_hunting_spear_pl|Lança de Caça
itm_glaive_a|Glaive
itm_glaive_a_pl|Glaive
itm_glaive_b|Glaive
itm_glaive_b_pl|Glaive
itm_partisan|Partisan
itm_partisan_pl|Partisan
itm_bollock_dagger|Adaga de Testículos
itm_bollock_dagger_pl|Adaga de Testículos
itm_pikeman_dagger|Adaga de Piqueiro
itm_pikeman_dagger_pl|Adaga de Piqueiro
itm_rondel_dagger|Adaga de Rondel
itm_rondel_dagger_pl|Adaga de Rondel
itm_glaive1|Glaive
itm_glaive1_pl|Glaive
itm_glaive2|Glaive
itm_glaive2_pl|Glaive
itm_polearms_end|fim das Armas de haste 
itm_polearms_end_pl|fim das Armas de haste 
itm_club1|Porrete
itm_club1_pl|Porrete
itm_club2|Porrete
itm_club2_pl|Porrete
itm_club3|Porrete
itm_club3_pl|Porrete
itm_warhammer1|Martelo de Guerra
itm_warhammer1_pl|Martelo de Guerra
itm_mace_1|Maça Farpada
itm_mace_1_pl|Maça Farpada
itm_mace_2|Maça de Guerra
itm_mace_2_pl|Maça de Guerra
itm_mace_3|Maça Farpada
itm_mace_3_pl|Maça Farpada
itm_mace_4|Maça de Aletas
itm_mace_4_pl|Maça de Aletas
itm_club_with_spike_head|Clube Pontiagudo
itm_club_with_spike_head_pl|Clube Pontiagudo
itm_long_spiked_club|Clube Farpado Longo
itm_long_spiked_club_pl|Clube Farpado Longo
itm_long_hafted_knobbed_mace|Maça Chifrada Longa
itm_long_hafted_knobbed_mace_pl|Maça Chifrada Longa
itm_long_hafted_spiked_mace|Maça Farpada Longa
itm_long_hafted_spiked_mace_pl|Maça Farpada Longa
itm_sarranid_two_handed_mace_1|Maça de Ferro
itm_sarranid_two_handed_mace_1_pl|Maça de Ferro
itm_sarranid_mace_1|Iron Mace
itm_sarranid_mace_1_pl|Iron Mace
itm_cudgel|Porrete
itm_cudgel_pl|Porrete
itm_hammer|Martelo
itm_hammer_pl|Martelo
itm_club|Clube
itm_club_pl|Clube
itm_winged_mace|Maça de Aletas
itm_winged_mace_pl|Maça de Aletas
itm_spiked_mace|Maça Farpada
itm_spiked_mace_pl|Maça Farpada
itm_military_hammer|Martelo Militar
itm_military_hammer_pl|Martelo Militar
itm_maul|Marreta
itm_maul_pl|Marreta
itm_sledgehammer|Martelo de Ferraria
